Id,Prediction
r15_c633,4.0
r15_c701,5.0
r15_c765,4.0
r15_c807,3.0
r15_c843,1.0
r15_c855,5.0
r15_c996,3.0
r16_c117,1.0
r16_c184,4.0
r16_c200,5.0
r16_c250,3.0
r16_c349,4.0
r16_c583,4.0
r16_c785,4.0
r17_c33,4.0
r17_c106,3.0
r17_c170,2.0
r17_c264,3.0
r17_c350,5.0
r17_c351,5.0
r17_c396,5.0
r17_c405,3.0
r17_c523,4.0
r17_c534,5.0
r17_c629,4.0
r17_c638,5.0
r17_c664,4.0
r17_c731,2.0
r17_c748,3.0
r17_c778,5.0
r17_c921,2.0
r17_c967,2.0
r18_c181,3.0
r18_c317,5.0
r18_c596,5.0
r18_c785,3.0
r19_c14,5.0
r19_c284,2.0
r19_c370,4.0
r19_c495,5.0
r19_c954,1.0
r20_c95,5.0
r20_c326,3.0
r20_c448,3.0
r20_c659,3.0
r20_c742,4.0
r21_c59,5.0
r21_c183,3.0
r21_c214,4.0
r21_c245,5.0
r21_c247,3.0
r21_c301,4.0
r21_c432,3.0
r21_c457,5.0
r21_c550,4.0
r21_c705,2.0
r22_c5,3.0
r22_c103,5.0
r22_c175,4.0
r22_c228,5.0
r22_c287,5.0
r22_c405,3.0
r22_c501,5.0
r22_c562,3.0
r22_c594,5.0
r22_c657,4.0
r22_c696,4.0
r22_c772,5.0
r22_c921,4.0
r22_c944,5.0
r23_c14,3.0
r23_c69,3.0
r23_c112,4.0
r23_c176,4.0
r23_c193,4.0
r23_c256,3.0
r23_c387,4.0
r23_c418,3.0
r23_c434,3.0
r23_c477,5.0
r23_c659,4.0
r23_c685,5.0
r23_c743,4.0
r23_c752,4.0
r23_c774,3.0
r23_c806,4.0
r24_c10,4.0
r24_c46,5.0
r24_c546,2.0
r24_c668,2.0
r24_c915,1.0
r25_c2,3.0
r25_c298,3.0
r26_c8,4.0
r26_c71,4.0
r26_c163,4.0
r26_c178,5.0
r26_c180,5.0
r26_c644,3.0
r26_c673,3.0
r26_c716,4.0
r26_c773,5.0
r26_c778,3.0
r26_c791,3.0
r27_c6,5.0
r27_c160,3.0
r27_c222,4.0
r27_c246,1.0
r27_c391,3.0
r27_c409,3.0
r27_c587,4.0
r27_c596,5.0
r27_c624,5.0
r27_c638,2.0
r27_c808,4.0
r27_c871,2.0
r27_c898,5.0
r27_c971,3.0
r28_c12,4.0
r28_c591,5.0
r28_c716,4.0
r28_c833,3.0
r28_c863,2.0
r29_c20,3.0
r29_c274,5.0
r29_c435,5.0
r29_c619,5.0
r29_c632,5.0
r29_c664,5.0
r29_c971,5.0
r30_c10,5.0
r30_c92,2.0
r30_c191,5.0
r30_c245,3.0
r30_c270,2.0
r30_c303,5.0
r30_c321,5.0
r30_c330,3.0
r30_c367,4.0
r30_c428,2.0
r30_c452,1.0
r30_c680,5.0
r30_c705,2.0
r30_c716,4.0
r30_c791,5.0
r30_c847,5.0
r30_c853,4.0
r30_c925,3.0
r30_c978,3.0
r31_c62,4.0
r31_c176,4.0
r31_c426,5.0
r31_c567,4.0
r31_c573,4.0
r31_c587,5.0
r31_c613,3.0
r31_c700,4.0
r31_c704,4.0
r31_c746,4.0
r31_c765,1.0
r31_c938,3.0
r31_c995,5.0
r32_c256,4.0
r32_c350,4.0
r32_c491,5.0
r32_c881,3.0
r33_c89,2.0
r33_c240,5.0
r33_c250,3.0
r33_c601,3.0
r33_c828,5.0
r33_c843,2.0
r34_c93,4.0
r34_c118,5.0
r34_c350,4.0
r34_c399,4.0
r34_c435,3.0
r34_c549,1.0
r34_c628,3.0
r34_c644,5.0
r34_c719,3.0
r35_c249,5.0
r35_c399,4.0
r35_c527,2.0
r35_c546,5.0
r35_c618,5.0
r35_c638,5.0
r35_c664,4.0
r35_c803,3.0
r36_c214,4.0
r36_c684,4.0
r36_c757,1.0
r37_c317,5.0
r37_c399,3.0
r37_c411,5.0
r37_c433,5.0
r37_c553,5.0
r37_c575,5.0
r37_c577,2.0
r37_c626,3.0
r37_c660,5.0
r37_c697,1.0
r37_c759,5.0
r37_c778,5.0
r37_c890,4.0
r37_c995,5.0
r38_c8,3.0
r38_c352,1.0
r38_c428,2.0
r38_c786,1.0
r38_c806,5.0
r38_c916,2.0
r38_c960,5.0
r38_c993,1.0
r39_c51,3.0
r39_c251,1.0
r39_c351,5.0
r39_c490,5.0
r39_c524,3.0
r39_c596,5.0
r39_c655,5.0
r39_c673,5.0
r39_c745,5.0
r39_c777,3.0
r39_c783,3.0
r39_c792,5.0
r39_c829,2.0
r39_c855,4.0
r40_c69,4.0
r40_c87,3.0
r40_c134,5.0
r40_c186,3.0
r40_c196,3.0
r40_c233,3.0
r40_c260,3.0
r40_c324,3.0
r40_c349,3.0
r40_c353,4.0
r40_c496,3.0
r40_c501,3.0
r40_c562,3.0
r40_c596,5.0
r40_c642,2.0
r40_c664,5.0
r40_c757,4.0
r40_c789,4.0
r40_c833,4.0
r40_c872,3.0
r40_c874,1.0
r41_c2,3.0
r41_c62,3.0
r41_c102,3.0
r41_c111,5.0
r41_c261,4.0
r41_c347,4.0
r41_c367,2.0
r41_c450,4.0
r41_c477,5.0
r41_c487,5.0
r41_c547,4.0
r41_c563,4.0
r41_c616,5.0
r41_c703,3.0
r41_c743,1.0
r41_c818,3.0
r41_c820,3.0
r41_c864,3.0
r41_c915,5.0
r41_c982,5.0
r41_c1000,3.0
r42_c326,4.0
r43_c26,5.0
r43_c122,5.0
r43_c256,4.0
r43_c396,5.0
r43_c782,5.0
r43_c790,5.0
r43_c809,4.0
r44_c1,4.0
r44_c8,5.0
r44_c18,5.0
r44_c68,3.0
r44_c89,3.0
r44_c96,2.0
r44_c161,4.0
r44_c162,3.0
r44_c190,4.0
r44_c204,2.0
r44_c303,5.0
r44_c322,5.0
r44_c328,4.0
r44_c342,4.0
r44_c346,3.0
r44_c416,4.0
r44_c432,5.0
r44_c474,5.0
r44_c497,4.0
r44_c536,5.0
r44_c568,5.0
r44_c631,5.0
r44_c686,4.0
r44_c726,3.0
r44_c811,4.0
r44_c862,5.0
r44_c948,3.0
r44_c982,4.0
r44_c990,2.0
r44_c992,4.0
r45_c549,4.0
r45_c656,5.0
r45_c700,4.0
r46_c4,5.0
r46_c501,4.0
r46_c596,4.0
r46_c623,5.0
r47_c4,4.0
r47_c20,3.0
r47_c22,1.0
r47_c69,3.0
r47_c177,5.0
r47_c412,5.0
r47_c483,3.0
r47_c623,3.0
r48_c179,2.0
r48_c234,3.0
r48_c667,3.0
r48_c767,3.0
r49_c184,2.0
r49_c278,2.0
r49_c298,4.0
r49_c697,5.0
r49_c756,5.0
r49_c806,4.0
r49_c888,4.0
r49_c967,2.0
r50_c84,5.0
r50_c126,3.0
r50_c206,3.0
r50_c321,5.0
r50_c326,4.0
r50_c340,3.0
r50_c416,2.0
r50_c581,4.0
r50_c591,5.0
r50_c623,5.0
r50_c716,4.0
r50_c789,4.0
r50_c816,4.0
r51_c175,2.0
r51_c178,2.0
r51_c182,4.0
r51_c227,1.0
r51_c285,5.0
r51_c343,4.0
r51_c350,5.0
r51_c433,5.0
r51_c471,4.0
r51_c644,2.0
r51_c686,5.0
r51_c744,3.0
r51_c880,3.0
r51_c959,2.0
r51_c984,1.0
r52_c214,3.0
r52_c707,3.0
r52_c876,5.0
r53_c26,5.0
r53_c184,3.0
r53_c310,5.0
r53_c366,5.0
r53_c444,5.0
r53_c471,5.0
r53_c508,3.0
r53_c529,5.0
r53_c643,5.0
r53_c654,5.0
r53_c792,5.0
r53_c802,4.0
r53_c942,5.0
r53_c988,3.0
r53_c989,3.0
r54_c6,5.0
r54_c123,2.0
r54_c183,5.0
r54_c471,5.0
r54_c493,4.0
r54_c598,4.0
r54_c608,5.0
r54_c779,4.0
r54_c847,4.0
r54_c852,4.0
r55_c134,5.0
r55_c213,3.0
r55_c287,2.0
r55_c317,3.0
r55_c338,4.0
r55_c340,4.0
r55_c399,3.0
r55_c716,4.0
r55_c770,3.0
r56_c60,5.0
r56_c156,5.0
r56_c283,2.0
r56_c423,5.0
r56_c439,4.0
r56_c598,5.0
r56_c602,5.0
r56_c665,5.0
r56_c728,3.0
r56_c761,5.0
r56_c768,3.0
r56_c858,3.0
r56_c921,2.0
r56_c950,4.0
r57_c8,5.0
r57_c16,4.0
r57_c22,4.0
r57_c46,5.0
r57_c51,5.0
r57_c145,1.0
r57_c236,4.0
r57_c361,3.0
r57_c403,5.0
r57_c599,3.0
r57_c616,4.0
r57_c640,5.0
r57_c664,5.0
r57_c726,1.0
r57_c799,3.0
r57_c823,4.0
r57_c864,4.0
r57_c921,4.0
r59_c45,4.0
r59_c161,4.0
r59_c270,3.0
r59_c317,3.0
r59_c916,5.0
r59_c971,5.0
r60_c386,4.0
r60_c608,5.0
r60_c646,5.0
r60_c683,5.0
r61_c68,5.0
r61_c91,3.0
r61_c187,4.0
r61_c236,4.0
r61_c247,5.0
r61_c278,2.0
r61_c345,5.0
r61_c386,5.0
r61_c413,3.0
r61_c471,5.0
r61_c555,3.0
r61_c581,5.0
r61_c584,2.0
r61_c615,5.0
r61_c638,5.0
r61_c665,4.0
r61_c682,4.0
r61_c695,5.0
r61_c699,5.0
r61_c703,4.0
r61_c999,4.0
r62_c107,1.0
r62_c109,4.0
r62_c139,3.0
r62_c208,5.0
r63_c214,5.0
r63_c258,3.0
r63_c434,3.0
r63_c487,5.0
r63_c496,4.0
r63_c579,3.0
r63_c645,5.0
r63_c696,5.0
r63_c825,5.0
r63_c925,5.0
r63_c974,3.0
r64_c161,4.0
r64_c323,1.0
r64_c575,2.0
r64_c599,5.0
r64_c633,4.0
r64_c657,4.0
r64_c751,3.0
r64_c782,2.0
r64_c853,4.0
r65_c6,5.0
r65_c162,2.0
r65_c215,3.0
r65_c303,3.0
r65_c322,5.0
r65_c351,5.0
r65_c360,4.0
r65_c408,4.0
r65_c490,3.0
r65_c503,1.0
r65_c523,2.0
r65_c622,5.0
r65_c649,5.0
r65_c655,2.0
r65_c702,5.0
r65_c718,5.0
r65_c768,2.0
r65_c769,5.0
r65_c781,3.0
r65_c860,2.0
r65_c960,5.0
r66_c20,2.0
r66_c161,5.0
r66_c178,5.0
r66_c236,5.0
r66_c381,4.0
r66_c417,3.0
r66_c548,4.0
r66_c970,3.0
r67_c236,5.0
r67_c295,3.0
r67_c342,2.0
r67_c410,3.0
r67_c443,2.0
r67_c648,4.0
r67_c663,4.0
r67_c702,5.0
r67_c719,3.0
r68_c40,4.0
r68_c46,4.0
r68_c139,5.0
r68_c310,5.0
r68_c620,5.0
r69_c35,2.0
r69_c135,4.0
r69_c177,2.0
r69_c213,2.0
r69_c274,2.0
r69_c312,4.0
r69_c321,5.0
r69_c338,5.0
r69_c402,5.0
r69_c434,5.0
r69_c444,1.0
r69_c523,3.0
r69_c542,3.0
r69_c562,5.0
r69_c595,5.0
r69_c599,5.0
r69_c620,4.0
r69_c639,3.0
r69_c662,4.0
r69_c689,5.0
r69_c728,3.0
r69_c805,4.0
r69_c853,3.0
r69_c855,3.0
r69_c863,3.0
r69_c876,5.0
r69_c931,3.0
r69_c942,3.0
r69_c997,3.0
r70_c7,2.0
r70_c11,2.0
r70_c39,2.0
r70_c44,3.0
r70_c61,4.0
r70_c90,1.0
r70_c169,5.0
r70_c193,4.0
r70_c199,2.0
r70_c282,3.0
r70_c306,5.0
r70_c361,2.0
r70_c396,4.0
r70_c591,5.0
r70_c616,5.0
r70_c617,3.0
r70_c628,4.0
r70_c633,2.0
r70_c672,5.0
r70_c680,5.0
r70_c719,5.0
r70_c740,3.0
r70_c777,5.0
r70_c778,2.0
r70_c789,3.0
r70_c823,2.0
r70_c839,4.0
r70_c869,4.0
r70_c876,5.0
r70_c880,3.0
r70_c913,1.0
r70_c922,3.0
r70_c948,4.0
r70_c971,5.0
r70_c1000,4.0
r71_c130,3.0
r71_c264,5.0
r71_c271,2.0
r71_c295,4.0
r71_c312,3.0
r71_c379,3.0
r71_c487,5.0
r71_c623,4.0
r71_c769,4.0
r71_c813,3.0
r71_c970,3.0
r72_c175,1.0
r72_c207,1.0
r72_c239,3.0
r72_c269,4.0
r72_c280,4.0
r72_c290,4.0
r72_c310,3.0
r72_c315,3.0
r72_c317,5.0
r72_c390,1.0
r72_c397,4.0
r72_c404,3.0
r72_c434,5.0
r72_c461,3.0
r72_c466,5.0
r72_c486,4.0
r72_c556,5.0
r72_c576,3.0
r72_c668,5.0
r72_c670,5.0
r72_c682,5.0
r72_c703,5.0
r72_c733,5.0
r72_c738,2.0
r72_c763,4.0
r72_c806,5.0
r72_c919,1.0
r72_c978,5.0
r72_c989,4.0
r73_c106,3.0
r73_c206,5.0
r73_c214,3.0
r73_c495,5.0
r73_c606,5.0
r73_c611,4.0
r73_c631,4.0
r73_c648,3.0
r73_c768,5.0
r73_c792,4.0
r73_c830,5.0
r73_c871,5.0
r74_c134,5.0
r74_c317,5.0
r74_c497,5.0
r74_c705,1.0
r74_c769,3.0
r74_c876,2.0
r75_c230,4.0
r76_c45,2.0
r76_c175,1.0
r76_c176,5.0
r76_c265,3.0
r76_c302,4.0
r76_c306,5.0
r76_c307,5.0
r76_c330,5.0
r76_c466,3.0
r76_c475,4.0
r76_c639,5.0
r76_c731,4.0
r76_c817,3.0
r76_c978,5.0
r77_c41,4.0
r77_c72,5.0
r77_c105,3.0
r77_c124,5.0
r77_c148,5.0
r77_c256,5.0
r77_c272,2.0
r77_c295,5.0
r77_c307,3.0
r77_c326,3.0
r77_c327,3.0
r77_c335,5.0
r77_c360,5.0
r77_c491,4.0
r77_c511,3.0
r77_c578,4.0
r77_c582,5.0
r77_c584,1.0
r77_c596,5.0
r77_c602,4.0
r77_c636,5.0
r77_c697,5.0
r77_c773,3.0
r77_c779,3.0
r77_c835,3.0
r77_c840,4.0
r77_c864,5.0
r77_c945,5.0
r77_c957,4.0
r78_c25,3.0
r78_c125,2.0
r78_c308,4.0
r78_c310,5.0
r78_c314,5.0
r78_c324,5.0
r78_c370,5.0
r78_c420,3.0
r78_c433,5.0
r78_c463,5.0
r78_c464,5.0
r78_c544,3.0
r78_c569,5.0
r78_c589,3.0
r78_c602,5.0
r78_c628,5.0
r78_c629,2.0
r78_c645,5.0
r78_c702,5.0
r78_c725,3.0
r78_c737,4.0
r78_c812,1.0
r78_c883,3.0
r78_c984,3.0
r79_c32,5.0
r79_c148,5.0
r79_c172,5.0
r79_c189,4.0
r79_c200,3.0
r79_c241,4.0
r79_c305,4.0
r79_c495,5.0
r79_c498,4.0
r79_c618,3.0
r79_c662,4.0
r79_c745,4.0
r79_c770,5.0
r79_c789,1.0
r79_c828,4.0
r79_c853,4.0
r79_c944,4.0
r79_c995,4.0
r80_c46,3.0
r80_c118,3.0
r80_c308,4.0
r80_c338,5.0
r80_c427,3.0
r80_c430,5.0
r80_c450,5.0
r80_c471,3.0
r80_c595,5.0
r80_c671,5.0
r81_c45,5.0
r81_c46,5.0
r81_c71,4.0
r81_c89,5.0
r81_c90,2.0
r81_c146,4.0
r81_c178,5.0
r81_c217,2.0
r81_c285,5.0
r81_c322,5.0
r81_c348,5.0
r81_c370,5.0
r81_c408,2.0
r81_c425,5.0
r81_c501,5.0
r81_c514,3.0
r81_c527,5.0
r81_c566,1.0
r81_c595,5.0
r81_c608,5.0
r81_c624,5.0
r81_c631,3.0
r81_c684,3.0
r81_c737,2.0
r81_c764,3.0
r81_c774,5.0
r81_c805,5.0
r81_c881,1.0
r81_c924,3.0
r81_c942,5.0
r81_c946,2.0
r82_c46,2.0
r82_c478,5.0
r82_c731,3.0
r83_c169,5.0
r83_c170,3.0
r83_c326,4.0
r83_c331,1.0
r83_c396,3.0
r83_c553,2.0
r83_c612,5.0
r83_c623,5.0
r83_c657,5.0
r83_c824,4.0
r83_c825,5.0
r83_c925,5.0
r84_c14,5.0
r84_c333,3.0
r84_c391,5.0
r84_c477,5.0
r84_c482,3.0
r84_c484,3.0
r84_c598,4.0
r84_c663,4.0
r84_c685,5.0
r84_c816,5.0
r84_c925,4.0
r84_c978,3.0
r85_c27,4.0
r85_c97,3.0
r85_c131,5.0
r85_c213,5.0
r85_c266,3.0
r85_c477,5.0
r85_c529,5.0
r85_c555,4.0
r85_c559,4.0
r85_c598,4.0
r85_c691,4.0
r86_c29,4.0
r86_c99,3.0
r86_c115,3.0
r86_c172,3.0
r86_c224,2.0
r86_c280,2.0
r86_c329,4.0
r86_c347,3.0
r86_c380,4.0
r86_c405,3.0
r86_c410,4.0
r86_c495,5.0
r86_c501,5.0
r86_c584,5.0
r86_c591,5.0
r86_c596,5.0
r86_c598,5.0
r86_c646,4.0
r86_c648,3.0
r86_c650,5.0
r86_c705,5.0
r86_c747,5.0
r86_c748,5.0
r86_c795,3.0
r86_c810,3.0
r86_c848,3.0
r86_c906,3.0
r86_c954,2.0
r87_c148,5.0
r87_c188,5.0
r87_c303,2.0
r87_c316,3.0
r87_c368,4.0
r87_c392,2.0
r87_c466,3.0
r87_c533,2.0
r87_c544,3.0
r87_c551,4.0
r87_c611,5.0
r87_c657,5.0
r87_c663,5.0
r87_c686,5.0
r88_c23,1.0
r88_c44,5.0
r88_c47,1.0
r88_c186,5.0
r88_c285,5.0
r88_c310,2.0
r88_c332,3.0
r88_c864,4.0
r89_c6,4.0
r89_c11,4.0
r89_c139,4.0
r89_c487,3.0
r89_c617,3.0
r89_c716,2.0
r90_c20,3.0
r90_c68,4.0
r90_c89,4.0
r90_c122,3.0
r90_c139,4.0
r90_c171,5.0
r90_c178,5.0
r90_c214,3.0
r90_c223,4.0
r90_c224,5.0
r90_c240,1.0
r90_c251,5.0
r90_c257,5.0
r90_c263,1.0
r90_c278,3.0
r90_c290,3.0
r90_c295,5.0
r90_c319,3.0
r90_c320,5.0
r90_c411,2.0
r90_c466,3.0
r90_c483,5.0
r90_c486,1.0
r90_c552,3.0
r90_c587,5.0
r90_c615,4.0
r90_c623,5.0
r90_c652,5.0
r90_c661,5.0
r90_c678,4.0
r90_c756,5.0
r90_c764,5.0
r90_c823,4.0
r90_c969,4.0
r90_c970,3.0
r91_c4,3.0
r91_c131,4.0
r91_c178,1.0
r91_c200,3.0
r91_c256,5.0
r91_c302,4.0
r91_c321,5.0
r91_c406,2.0
r91_c475,4.0
r91_c487,5.0
r91_c492,4.0
r91_c773,5.0
r91_c794,3.0
r91_c812,3.0
r91_c874,4.0
r92_c21,5.0
r92_c44,2.0
r92_c50,2.0
r92_c57,2.0
r92_c61,4.0
r92_c93,4.0
r92_c120,5.0
r92_c135,3.0
r92_c241,3.0
r92_c257,5.0
r92_c258,2.0
r92_c308,3.0
r92_c352,4.0
r92_c576,2.0
r92_c628,4.0
r92_c650,5.0
r92_c652,3.0
r92_c701,4.0
r92_c867,5.0
r92_c908,3.0
r92_c909,3.0
r93_c302,4.0
r93_c317,4.0
r93_c427,3.0
r93_c668,5.0
r93_c716,3.0
r93_c915,1.0
r93_c971,3.0
r93_c978,2.0
r94_c33,2.0
r94_c84,4.0
r94_c102,5.0
r94_c216,5.0
r94_c304,5.0
r94_c310,5.0
r94_c364,3.0
r94_c878,4.0
r95_c31,3.0
r95_c69,3.0
r95_c216,3.0
r95_c244,5.0
r95_c528,3.0
r95_c741,4.0
r95_c789,3.0
r95_c812,3.0
r95_c863,3.0
r96_c156,5.0
r96_c175,4.0
r96_c196,5.0
r96_c379,5.0
r96_c421,3.0
r96_c852,3.0
r97_c57,3.0
r97_c64,3.0
r97_c80,3.0
r97_c141,5.0
r97_c152,4.0
r97_c267,3.0
r97_c293,2.0
r97_c300,4.0
r97_c337,3.0
r97_c409,4.0
r97_c420,3.0
r97_c430,3.0
r97_c433,5.0
r97_c469,3.0
r97_c481,4.0
r97_c483,5.0
r97_c544,3.0
r97_c545,5.0
r97_c595,5.0
r97_c621,4.0
r97_c631,3.0
r97_c665,4.0
r97_c689,5.0
r97_c725,5.0
r97_c726,5.0
r97_c736,5.0
r97_c768,5.0
r97_c797,5.0
r97_c808,5.0
r97_c809,3.0
r97_c889,3.0
r97_c895,3.0
r97_c899,4.0
r98_c310,5.0
r98_c314,4.0
r98_c475,3.0
r98_c609,5.0
r98_c617,4.0
r98_c680,3.0
r98_c742,3.0
r99_c26,2.0
r99_c239,4.0
r99_c256,5.0
r99_c495,5.0
r99_c586,5.0
r99_c598,4.0
r99_c602,5.0
r99_c612,5.0
r100_c96,1.0
r100_c163,1.0
r100_c216,4.0
r100_c235,4.0
r100_c278,3.0
r100_c294,4.0
r100_c439,2.0
r100_c444,4.0
r100_c471,2.0
r100_c477,4.0
r100_c660,5.0
r100_c706,5.0
r100_c715,3.0
r100_c716,5.0
r100_c815,2.0
r101_c84,5.0
r101_c90,3.0
r101_c122,3.0
r101_c141,5.0
r101_c211,2.0
r101_c223,5.0
r101_c321,3.0
r101_c550,4.0
r101_c576,3.0
r101_c772,5.0
r101_c775,4.0
r102_c122,5.0
r102_c184,5.0
r102_c344,5.0
r102_c348,4.0
r102_c351,5.0
r102_c570,4.0
r102_c596,5.0
r102_c608,5.0
r102_c612,5.0
r102_c698,5.0
r102_c775,5.0
r102_c960,3.0
r103_c50,3.0
r103_c61,5.0
r103_c178,5.0
r103_c182,1.0
r103_c258,4.0
r103_c311,5.0
r103_c495,5.0
r103_c530,4.0
r103_c688,3.0
r103_c719,3.0
r103_c742,1.0
r103_c773,5.0
r103_c779,5.0
r103_c898,5.0
r104_c84,4.0
r104_c271,4.0
r104_c367,5.0
r104_c462,2.0
r104_c471,4.0
r104_c482,5.0
r104_c597,5.0
r105_c134,4.0
r105_c190,4.0
r105_c211,3.0
r105_c215,5.0
r105_c324,5.0
r105_c534,5.0
r105_c571,4.0
r105_c620,3.0
r105_c661,5.0
r106_c116,3.0
r106_c176,5.0
r106_c178,5.0
r106_c484,4.0
r106_c545,3.0
r106_c556,2.0
r106_c619,5.0
r106_c644,4.0
r106_c650,5.0
r106_c677,4.0
r106_c759,4.0
r106_c915,5.0
r106_c980,3.0
r107_c6,5.0
r107_c8,4.0
r107_c16,3.0
r107_c125,1.0
r107_c250,5.0
r107_c488,4.0
r107_c546,5.0
r107_c794,3.0
r108_c5,3.0
r108_c7,4.0
r108_c34,4.0
r108_c142,1.0
r108_c155,3.0
r108_c216,5.0
r108_c251,5.0
r108_c309,3.0
r108_c316,2.0
r108_c321,5.0
r108_c370,4.0
r108_c375,3.0
r108_c398,4.0
r108_c483,3.0
r108_c549,3.0
r108_c583,5.0
r108_c595,5.0
r108_c685,4.0
r108_c697,4.0
r108_c770,4.0
r108_c905,3.0
r108_c1000,3.0
r109_c32,3.0
r109_c45,4.0
r109_c51,2.0
r109_c134,5.0
r109_c352,3.0
r109_c417,2.0
r109_c544,4.0
r109_c656,5.0
r109_c707,4.0
r109_c832,2.0
r110_c237,4.0
r110_c306,5.0
r110_c458,5.0
r110_c746,4.0
r110_c748,5.0
r111_c6,5.0
r111_c51,3.0
r111_c106,5.0
r111_c297,2.0
r111_c380,1.0
r111_c440,4.0
r111_c648,3.0
r111_c654,3.0
r111_c691,3.0
r111_c761,2.0
r111_c805,3.0
r111_c860,4.0
r112_c33,2.0
r112_c71,1.0
r112_c79,3.0
r112_c101,3.0
r112_c125,3.0
r112_c150,4.0
r112_c244,3.0
r112_c259,4.0
r112_c285,4.0
r112_c300,4.0
r112_c318,5.0
r112_c331,2.0
r112_c455,2.0
r112_c458,4.0
r112_c487,5.0
r112_c489,3.0
r112_c632,4.0
r112_c673,3.0
r112_c676,5.0
r112_c698,5.0
r112_c720,4.0
r112_c791,5.0
r112_c793,3.0
r112_c825,3.0
r112_c874,3.0
r112_c883,3.0
r112_c891,4.0
r112_c898,4.0
r112_c921,3.0
r113_c11,5.0
r113_c108,1.0
r113_c164,3.0
r113_c178,5.0
r113_c184,5.0
r113_c240,1.0
r113_c289,1.0
r113_c397,3.0
r113_c833,5.0
r113_c847,2.0
r114_c269,5.0
r114_c426,5.0
r114_c446,5.0
r114_c483,4.0
r114_c581,5.0
r114_c594,5.0
r114_c657,5.0
r114_c661,4.0
r114_c683,4.0
r114_c883,4.0
r114_c915,5.0
r114_c966,3.0
r114_c982,3.0
r115_c92,4.0
r115_c134,5.0
r115_c534,4.0
r116_c198,4.0
r116_c215,4.0
r116_c328,5.0
r116_c347,4.0
r116_c389,4.0
r116_c484,4.0
r116_c534,5.0
r116_c597,4.0
r116_c703,5.0
r117_c103,3.0
r117_c156,4.0
r117_c258,5.0
r117_c546,4.0
r117_c608,5.0
r117_c684,5.0
r117_c969,5.0
r117_c978,5.0
r118_c76,3.0
r118_c235,4.0
r118_c249,3.0
